   0.0000000000000000      ( -59.021002700204136     , -13.851976777689753     )
  0.50000000000000000      ( -58.012022108853323     , -13.759547357215091     )
   1.0000000000000000      ( -55.261416508129820     , -13.380426292192048     )
   1.5000000000000000      ( -51.408621244005978     , -12.574109002189838     )
   2.0000000000000000      ( -47.090871497766472     , -11.430459023017118     )
   2.5000000000000000      ( -42.727058129137056     , -10.194890462642460     )
   3.0000000000000000      ( -38.514956278402842     , -9.0349546035810899     )
   3.5000000000000000      ( -34.514495549262364     , -8.0011773877309391     )
   4.0000000000000000      ( -30.720945324646340     , -7.0865476140244397     )
   4.5000000000000000      ( -27.105941551656937     , -6.2685937127809854     )
   5.0000000000000000      ( -23.641830524373976     , -5.5253252422934080     )
   5.5000000000000000      ( -20.305309077436394     , -4.8391467342484411     )
   6.0000000000000000      ( -17.083753670939501     , -4.1967681030174457     )
   6.5000000000000000      ( -13.980977024510112     , -3.5881423107808930     )
   7.0000000000000000      ( -11.025823783024732     , -3.0052692535315861     )
   7.5000000000000000      ( -8.2828168868625696     , -2.4411403166794838     )
   8.0000000000000000      ( -5.8555361814603559     , -1.8900339543376774     )
   8.5000000000000000      ( -3.8625524163817708     , -1.3542486858104115     )
   9.0000000000000000      ( -2.3780553379352467     ,-0.86290891917514889     )
   9.5000000000000000      ( -1.3808456660450774     ,-0.47621475203148789     )
   10.000000000000000      (-0.76830867646995626     ,-0.23133040569003585     )
   10.500000000000000      (-0.41581062299080462     ,-0.10352417040917644     )
   11.000000000000000      (-0.22129244877938803     , -4.4427475795051151E-002)
   11.500000000000000      (-0.11660926016156437     , -1.8708375908902682E-002)
   12.000000000000000      ( -6.1084596220394610E-002, -7.8144486837269100E-003)
   12.500000000000000      ( -3.1881558961187641E-002, -3.2531196608002948E-003)
   13.000000000000000      ( -1.6599823152462716E-002, -1.3524947694639425E-003)
   13.500000000000000      ( -8.6284895881472024E-003, -5.6208797225363878E-004)
   14.000000000000000      ( -4.4793711143229203E-003, -2.3361219764262491E-004)
   14.500000000000000      ( -2.3230793866978773E-003, -9.7119687564723882E-005)
   15.000000000000000      ( -1.2037901853131151E-003, -4.0392019608910303E-005)
   15.500000000000000      ( -6.2334721257078845E-004, -1.6807196290636726E-005)
   16.000000000000000      ( -3.2258272577351667E-004, -6.9972815723210471E-006)
   16.500000000000000      ( -1.6684568790082974E-004, -2.9148294293579756E-006)
   17.000000000000000      ( -8.6253535967961381E-005, -1.2149449228692605E-006)
   17.500000000000000      ( -4.4570556908270234E-005, -5.0671701672965626E-007)
   18.000000000000000      ( -2.3022187157682985E-005, -2.1146688218226324E-007)
   18.500000000000000      ( -1.1887436288545047E-005, -8.8305359633244506E-008)
   19.000000000000000      ( -6.1360192668040769E-006, -3.6897527566638720E-008)
   19.500000000000000      ( -3.1663162177326165E-006, -1.5426551702545398E-008)
   20.000000000000000      ( -1.6334344629873181E-006, -6.4535144411865835E-009)
